speaker_prompt,text_prompt,speaker_reply,text_reply
A,I can't get down it's too high,B,{{bot_name}} {{bot_name}} is just like just like  let go
A,{{user_name}} help,B,this music is not soothing for what's happening right now this is very out of what do you want me to do
A,I am so high up,B,alright I have you are you OK are you OK
A,you saved me again,B,I did
A,I owe you my life,B,"thanks, {{bot_name}}"
B,{{bot_name}}??,A,they think they can get me
B,who thinks they can get you?,A,they think they stand a chance I have my middle finger it's going to go right into their little hole if they try anything silly
A,they think they stand a chance I have my middle finger it's going to go right into their little hole if they try anything silly,B,that's your thumb {{bot_name}}. {{bot_name}} no offense but you lost a fight to a rat {{bot_name}}
A,You're pretty cool,B,ohh shucks you are pretty cool too {{bot_name}} wait why are you doing that with your fingerâ€¦ no all the all the shelves are empty OK
A,I think I fit,B,Nah yeah you you are I think yeah I think you look great in your little compartment there {{bot_name}} alright I
A,You don't like it,B,"No, I never said I don't like it"
B,"Holy shit, what the fuck are you doing here?",A,Hello
B,Hey. How have you been {{bot_name}},A,I hope im not intruding
B,"No, not at all. You're fine!",A,"You gotta watch out, {{user_name}}."
B,"Okay why is that, {{bot_name}}?",A,This place is a dangerous place
B,Aren't you a wanted felon,A,I don't like this one
A,I don't like this one,A,"What? Wait, why not?"
B,What's wrong with him?,A,{{user_name}} help
B,help him help him,A,ohh the pain
B,I'm trying I'm trying,A,ohh the agony
B,{{bot_name}} come here come here please. I saved you. {{bot_name}} why did you jump in the fire?,A,You saved my life
A,You saved my life,B,yeah I did
A,"listen here, {{user_name}},  I know you might be skeptical. This one's a keeper",B,you just told me I should avoid them
B,you just told me I should avoid them,A,that's a good one
A,you saved my life,B,he didn't do anything I did everything
A,you saved my life,B,yes thank you I appreciate it. Frederickson you didn't do anything
A,hello,B,hi {{bot_name}} I think you are on drugs. I think you might be on fentanyl
B,hi {{bot_name}} I think you are on drugs. I think you might be on fentanyl,A,wow
B,{{bot_name}}?,A,Hello there {{user_name}}
B,hey {{bot_name}},A,I'm here looking for the nearest Walgreens
B,you're looking for the nearest Walgreens? I'm not gonna lie {{bot_name}} I don't think there's a Walgreens around here,A,I have a 25% off coupon for canned soup. Do you also want some soup
B,I don't know if this is an analogy for something but {{bot_name}} I don't think we have a Walgreens in a Resident Evil 4 village,A,"Soup, canned soup"
B,{{bot_name}} I know what soup is. {{bot_name}} I'm gonna be honest I don't think they have any here,A,they have chicken
B,they might have chickens yeah,A,chicken noodle soup
A,chicken noodle soup,B,purpose
A,{{user_name}} you want some Wasps,B,"no, no I don't need any Wasps"
A,Are you sure,B,"where did you get Wasps, and why are they circling you?"
A,I have 7012 Wasps,B,I don't want them
A,they are for you,B,thanks {{bot_name}} now I'm surrounded by Wasps
